Agency,Deaths.2019,Deaths.2020,Deaths.2021,Deaths.2022,Deaths.2023,Deaths.2024,Population.2019,Population.2020,Population.2021,Population.2022,Population.2023,Population.2024,Crude.Rate.2019,Crude.Rate.2020,Crude.Rate.2021,Crude.Rate.2022,Crude.Rate.2023,Crude.Rate.2024,SMR.2019,SMR.2020,SMR.2021,SMR.2022,SMR.2023,SMR.2024
Kentucky,63,72,63,56,36,NA,23674,21957,18781.5,19631.5,19918,19369,26.611577388812528,32.87387183188739,33.54393958715316,28.526537411843197,18.074184190477958,NA,NA,NA,NA,NA,NA,NA
Louisiana,96,138,140,178,NA,NA,32104,30027.5,26623.5,27074.5,27638,28387,29.903094492681824,46.0161387115144,52.58512366881037,65.7448814010884,NA,NA,NA,NA,NA,NA,NA,NA
Maine,8,7,9,11,5,NA,2332,2048.5,1673.5,1655,1719.5,1821,34.30926039231653,34.2095971524408,53.781237145207726,66.46528106361973,29.095168188515707,NA,NA,NA,NA,NA,NA,NA
Maryland,57,55,67,54,61,NA,18775.5,17629,15070.5,15222.5,15722,16178,30.358738525522252,31.21103660135141,44.45858105672272,35.47395712288395,38.80021634117887,NA,NA,NA,NA,NA,NA,NA
Massachusetts,35,42,38,28,42,NA,8510.5,7879.5,6673,6317.5,6079,6250,41.12774672264186,53.39176167822879,56.95130505527898,44.323242297417806,69.09376800289411,NA,NA,NA,NA,NA,NA,NA
Michigan,117,248,154,131,121,NA,38497.5,37030.5,33029,32421.5,32744,32969,30.39174448075888,67.00431665014693,46.62670621690135,40.40544653181028,36.95389966078279,NA,NA,NA,NA,NA,NA,NA
Minnesota,10,18,14,NA,NA,NA,10056,8923,7501,7743.5,8245,8348,9.944333979863377,20.20420824773081,18.66417810958539,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mississippi,74,109,92,NA,NA,NA,19560,18654,17792,18948,19984.5,19628,37.83234287682568,58.45439988532705,51.70863309352518,NA,NA,NA,NA,NA,NA,NA,NA,NA
Missouri,85,130,101,136,125,NA,28763,25164.5,23006,23430,23537.5,23884,29.56223598692543,51.687109822861586,43.90160092586114,58.045609212475455,53.10708392052,NA,NA,NA,NA,NA,NA,NA
Montana,8,25,26,15,14,13,3769,3826.5,2484,2684.5,2771,2916,21.225884963897624,65.35300494363501,104.68135594319224,55.88098152357638,50.523599211918324,44.58161865569273,NA,NA,NA,NA,NA,NA
Nebraska,16,30,25,NA,NA,NA,5528,5546.5,5322.5,5493,5721.5,5846,28.94410562294752,54.09845499403241,46.971403897557806,NA,NA,NA,NA,NA,NA,NA,NA,NA
Nevada,41,80,138,43,41,NA,13450,11954,10858.5,10453.5,10429.5,10613,30.484990408574554,66.95685973560106,127.09636228813943,41.135362187538604,39.31157908052664,NA,NA,NA,NA,NA,NA,NA
New Hampshire,9,7,8,NA,NA,NA,2637,2528,2196.5,2087,2098.5,2144,34.12973700559122,27.704456572450226,36.42611170950653,NA,NA,NA,NA,NA,NA,NA,NA,NA
New Jersey,40,87,39,NA,NA,NA,19083.5,17677.5,12606.5,12827,13328.5,12593,20.961018804258643,49.23434907656981,30.936520235140293,NA,NA,NA,NA,NA,NA,NA,NA,NA
New Mexico,19,41,25,NA,NA,NA,6915.5,6453.5,5877.5,5536.5,5396,5621,27.475365338329794,63.5314170605098,42.53509145044662,NA,NA,NA,NA,NA,NA,NA,NA,NA
New York,113,121,137,113,107,143,46280,41239,31904.5,31181.5,31959,32918,24.418382448023145,29.382398525609467,42.94065100534408,36.23946503284479,33.4812677033635,43.441278327966465,NA,NA,NA,NA,NA,NA
North Carolina,119,141,118,114,136,NA,34754.5,33248,29293.5,29979,30852.5,31972,34.240237018046955,42.453944004885095,40.282001994102046,38.02699249683113,44.08620326747824,NA,NA,NA,NA,NA,NA,NA
North Dakota,1,7,4,1,NA,NA,1731.5,1487,1527.5,1706,1846.5,1929,5.775640307198019,47.448541193256276,26.20154001588388,5.86247042991908,NA,NA,NA,NA,NA,NA,NA,NA
Ohio,136,250,123,NA,NA,NA,49880.5,48585,43667.5,43683.5,44092.5,45063,27.2651697931107,51.48586458803946,28.167572091823168,NA,NA,NA,NA,NA,NA,NA,NA,NA
Oklahoma,100,139,123,132,127,NA,26959,24986,22677.5,22805.5,23011,22698,37.09647800019097,55.65220874782074,54.2388462417036,57.88082581833163,55.19099571502592,NA,NA,NA,NA,NA,NA,NA
Oregon,41,50,52,47,48,NA,15913.5,14328,13289.5,12582.5,12754.5,12056,25.764389133737136,34.89919469426238,39.128644749452654,37.35589796269579,37.633893430533206,NA,NA,NA,NA,NA,NA,NA
Pennsylvania,158,217,236,NA,158,NA,46814.5,44055,38442,37927,38532,39061,33.7507626088247,49.28541335689151,61.39346151587392,NA,41.005783875253314,NA,NA,NA,NA,NA,NA,NA
Rhode Island,3,8,5,NA,NA,NA,2756.5,2475.5,2268.5,2303.5,2304,2325,10.88338413430408,32.389675733617,22.041468469963558,NA,NA,NA,NA,NA,NA,NA,NA,NA
South Carolina,71,121,90,94,82,NA,18875,18216,16105.5,16440.5,16339.5,16922,37.61619062709031,66.46955918971429,55.88164021904229,57.17629554187484,50.18573425090671,NA,NA,NA,NA,NA,NA,NA
South Dakota,14,11,10,22,NA,NA,3875,3676,3255.5,3361,3575,3755,36.1295038589973,29.954696077917177,30.717775963196416,65.4576886005075,NA,NA,NA,NA,NA,NA,NA,NA
Tennessee,105,164,191,NA,NA,NA,26736,25542.5,22979.5,22535,22618,23235,39.2729740508407,64.24000923909527,83.1175613046411,NA,NA,NA,NA,NA,NA,NA,NA,NA
Texas,447,700,583,562,575,NA,161842.5,151662,133930.5,137452.5,143180.5,150353,27.619823808729116,46.17666738156335,43.5301344938159,40.88745858128259,40.161311433799796,NA,NA,NA,NA,NA,NA,NA
Utah,21,36,27,NA,NA,NA,6701.5,6219,5601.5,5845.5,6100.5,6469,31.33628910681773,57.941202221198466,48.203771623498554,NA,NA,NA,NA,NA,NA,NA,NA,NA
Vermont,4,2,1,67,84,NA,1639.5,1407,1254,1327,1332,1374,24.39806571480231,14.216256850477714,7.974501943387395,504.93296259444526,630.6320523948552,NA,NA,NA,NA,NA,NA,NA
Virginia,90,128,121,NA,NA,NA,36465.5,34398,31331.5,28245,27155,27417,24.680965750612565,37.22147235598706,38.61928091537271,NA,NA,NA,NA,NA,NA,NA,NA,NA
Washington,37,51,18,NA,NA,NA,19291,18016,15064,13822,13837,14147,19.179963304599276,28.361468899102604,11.949017525225704,NA,NA,NA,NA,NA,NA,NA,NA,NA
West Virginia,28,46,24,NA,NA,NA,6784,6258,3936,4452.5,4850,4793,41.27359297695328,74.09927327791804,60.98795529202735,NA,NA,NA,NA,NA,NA,NA,NA,NA
Wisconsin,51,70,49,51,55,NA,24027,22892.5,20313,20888,22051.5,23190,21.22612782086464,30.601955527738564,24.122558905902476,24.41635616331135,24.94460576351802,NA,NA,NA,NA,NA,NA,NA
Wyoming,10,5,10,10,9,NA,2519,2361,1904.5,2160.5,2133,2238,39.698693378733886,21.236995151380828,52.51272492651803,46.2967129655225,42.19442669583812,NA,NA,NA,NA,NA,NA,NA
