Agency,Deaths.2016,Deaths.2017,Deaths.2018,Deaths.2019,Deaths.2020,Deaths.2021,Deaths.2022,Deaths.2023,Deaths.2024,Population.2016,Population.2017,Population.2018,Population.2019,Population.2020,Population.2021,Population.2022,Population.2023,Population.2024,Crude.Rate.2016,Crude.Rate.2017,Crude.Rate.2018,Crude.Rate.2019,Crude.Rate.2020,Crude.Rate.2021,Crude.Rate.2022,Crude.Rate.2023,Crude.Rate.2024,SMR.2019,SMR.2020,SMR.2021,SMR.2022,SMR.2023,SMR.2024
Minnesota,NA,NA,NA,10,18,14,NA,NA,NA,NA,NA,NA,10041,8570,7501,7778,8274,8348,NA,NA,NA,9.959167413604222,21.003500583430572,18.66417810958539,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mississippi,NA,NA,NA,74,109,92,NA,NA,NA,NA,NA,NA,19542,18293,17900,19097,19884,19628,NA,NA,NA,37.86715791628288,59.585633849013284,51.39664804469274,NA,NA,NA,NA,NA,NA,NA,NA,NA
Missouri,NA,NA,NA,85,130,101,136,125,NA,NA,NA,NA,28224,24589,23017,23489,23597,23884,NA,NA,NA,30.116213151927436,52.86916914067265,43.88060998392493,57.89944229213674,52.97283552994025,NA,NA,NA,NA,NA,NA,NA
Montana,NA,NA,NA,8,25,26,15,14,13,NA,NA,NA,3777,3892,2510,2709,2778,2916,NA,NA,NA,21.180831347630395,64.23432682425488,103.58565737051794,55.370985603543744,50.395968322534195,44.58161865569273,NA,NA,NA,NA,NA,NA
Nebraska,NA,NA,NA,16,30,25,NA,NA,NA,NA,NA,NA,5552,5470,5347,5514,5738,5846,NA,NA,NA,28.81844380403458,54.844606946983546,46.7551898260707,NA,NA,NA,NA,NA,NA,NA,NA,NA
Nevada,NA,NA,NA,41,80,138,43,41,NA,NA,NA,NA,13349,11686,10778,10407,10435,10613,NA,NA,NA,30.71391115439359,68.45798391237378,128.03859714232695,41.31834342269626,39.290848107331094,NA,NA,NA,NA,NA,NA,NA
New Hampshire,NA,NA,NA,9,7,8,NA,NA,NA,NA,NA,NA,2634,2470,2172,2075,2079,2144,NA,NA,NA,34.16856492027335,28.340080971659923,36.83241252302026,NA,NA,NA,NA,NA,NA,NA,NA,NA
New Jersey,NA,NA,NA,40,87,39,NA,NA,NA,NA,NA,NA,18990,17328,12584,12862,13301,12593,NA,NA,NA,21.0637177461822,50.207756232686975,30.991735537190085,NA,NA,NA,NA,NA,NA,NA,NA,NA
New Mexico,NA,NA,NA,19,41,25,NA,NA,NA,NA,NA,NA,6877,6364,5822,5496,5422,5621,NA,NA,NA,27.62832630507489,64.42489000628535,42.94057025077293,NA,NA,NA,NA,NA,NA,NA,NA,NA
New York,NA,NA,NA,113,121,137,113,107,143,NA,NA,NA,45884,39694,31375,31154,32122,32918,NA,NA,NA,24.627321070525674,30.483196452864412,43.66533864541833,36.271425820119404,33.310503704626115,43.441278327966465,NA,NA,NA,NA,NA,NA
