"State","Deaths.2019","Deaths.2020","Deaths.2021","Pct.Chg.Deaths.1920","Pct.Chg.Deaths.2021","Pct.Chg.Deaths.1921","CRate.2019","CRate.2020","CRate.2021","Pct.Chg.Rate.1920","Pct.Chg.Rate.2021","Pct.Chg.Rate.1921","Pop.2019","Pop.2020","Pop.2021","Pct.Chg.Pop.1920","Pct.Chg.Pop.2021","Pct.Chg.Pop.1921"
"Colorado",45,68,46,51.1111111111111,-32.3529411764706,2.22222222222222,22.5247772549805,39.1885661595205,29.3554562858966,73.9798166077557,-25.0917827245768,30.3251790399206,19978,17352,15670,-13.1444589047953,-9.69340710004611,-21.5637200921013
"Delaware",12,21,17,75,-19.047619047619,41.6666666666667,20.3527815468114,43.6772046589018,37.0693414740515,114.600665557404,-15.1288600917907,82.1340311091729,5896,4808,4586,-18.4531886024423,-4.61730449251248,-22.2184531886024
"Florida",400,590,441,47.5,-25.2542372881356,10.25,41.304392722166,66.523097044796,54.3317563571851,61.0557441003033,-18.3264779139813,31.539898728563,96842,88691,81168,-8.41680262695938,-8.48225862827119,-16.1851262881807
"Georgia",160,281,NA,75.625,NA,NA,28.9954875772458,55.4481234460713,NA,91.2301812423537,NA,NA,55181,50678,NA,-8.16041753502111,NA,NA
"Hawaii",16,16,NA,0,NA,NA,30.2743614001892,36.2565148425108,NA,19.7598005891684,NA,NA,5285,4413,NA,-16.4995269631031,NA,NA
"Idaho",26,34,29,30.7692307692308,-14.7058823529412,11.5384615384615,28.840820854132,38.9684813753582,35.2540724531972,35.1157152303284,-9.53182877819253,22.2367166021433,9015,8725,8226,-3.21686078757626,-5.71919770773639,-8.75207986688852
"Illinois",96,168,NA,75,NA,NA,24.5141850310258,52.4737631184408,NA,114.054691404298,NA,NA,39161,32016,NA,-18.2451929215291,NA,NA
"Indiana",97,143,NA,47.4226804123711,NA,NA,35.854217490944,55.4199124132853,NA,54.5701350957753,NA,NA,27054,25803,NA,-4.62408516300732,NA,NA
"Iowa",15,29,33,93.3333333333333,13.7931034482759,120,16.0324925181702,36.6485530140275,43.2786885245902,128.589241332828,18.0911249293386,169.943606557377,9356,7913,7625,-15.4232578024797,-3.63958043725515,-18.5014963659684
"Kansas",35,38,37,8.57142857142857,-2.63157894736842,5.71428571428571,34.3170899107756,41.6210295728368,42.2905474911418,21.2836801752465,1.60860489319079,23.2346553891873,10199,9130,8749,-10.481419747034,-4.17305585980285,-14.2170801058927
"Kentucky",63,77,63,22.2222222222222,-18.1818181818182,0,26.6474917519668,38.1963391041222,33.7150808091619,43.3393411269298,-11.7321670088447,26.5225302365407,23642,20159,18686,-14.7322561543017,-7.30691006498338,-20.9626935115472
"Louisiana",96,138,140,43.75,1.44927536231884,45.8333333333333,29.9644172545103,48.9865464484754,52.7446030968617,63.4823932412765,7.67160969867325,76.0241243767974,32038,28171,26543,-12.0700418253324,-5.77899258102304,-17.1515075847431
"Maine",8,7,9,-12.5,28.5714285714286,12.5,34.5572354211663,38.2932166301969,54.0216086434574,10.8109956236324,41.0735722860573,56.3250300120048,2315,1828,1666,-21.036717062635,-8.86214442013129,-28.0345572354212
"Maryland",65,67,79,3.07692307692308,17.910447761194,21.5384615384615,34.6426477642168,39.5326882227992,52.7968990175767,14.1156660191355,33.5525141119238,52.4043409641218,18763,16948,14963,-9.67329318339285,-11.7122964361577,-20.2526248467729
"Massachusetts",35,42,NA,20,NA,NA,41.3223140495868,57.431970463558,NA,38.9853685218105,NA,NA,8470,7313,NA,-13.6599763872491,NA,NA
"Michigan",117,248,154,111.965811965812,-37.9032258064516,31.6239316239316,30.4378365722313,70.2569477888892,46.7204659911413,130.821095389497,-33.5005754426896,53.4947001908958,38439,35299,32962,-8.16878690912875,-6.62058415252557,-14.248549650095
"Minnesota",10,18,14,80,-22.2222222222222,40,9.95421063109695,21.7706821480406,18.7793427230047,118.708272859216,-13.7402190923318,88.6572769953052,10046,8268,7455,-17.6985865020904,-9.83309143686502,-25.7913597451722
"Mississippi",74,109,NA,47.2972972972973,NA,NA,37.8555350931042,60.5656498305273,NA,59.9915301198848,NA,NA,19548,17997,NA,-7.93431553100061,NA,NA
