State.Name,Deaths.2019,Deaths.2020,Deaths.2021,Deaths.2022,Deaths.2023,Deaths.2024,Pop.Jun.2019,Pop.Jul.2020,Pop.Jul.2021,Pop.Jul.2022,Pop.Jul.2023,Pop.Jul.2024,Crude.Mortality.Rate.19,Crude.Mortality.Rate.20,Crude.Mortality.Rate.21,Crude.Mortality.Rate.22,Crude.Mortality.Rate.23,Crude.Mortality.Rate.24,Pct.Chg.Deaths.19.20,Pct.Chg.Deaths.20.21,Pct.Chg.Pop.19.20,Pct.Chg.Pop.20.21,Pct.Chg.Rate.19.20,Pct.Chg.Rate.20.21,Pct.Chg.Deaths.21.22,Pct.Chg.Deaths.22.23,Pct.Chg.Deaths.23.24,Pct.Chg.Deaths.19.24,Pct.Chg.Pop.21.22,Pct.Chg.Pop.22.23,Pct.Chg.Pop.23.24,Pct.Chg.Pop.19.24
Alabama,130,189,173,271,328,277,27638,26890,25377,25975,26731.5,27208,47.03668861712135,70.28635180364448,68.17196674153762,104.3310875842156,122.70168153676376,101.80829167891797,45.38461538461539,-8.465608465608465,-2.7064186988928287,-5.626626998884344,49.4287839345482,-3.00824414391818,56.64739884393064,21.033210332103323,-15.548780487804878,113.07692307692308,2.3564645151121093,2.912415784408085,1.7825411967154856,-1.5558289311817064
Alaska,4,14,8,18,10,15,4419,4313,4599,4497,4510,4444,9.051821679112921,32.46000463714352,17.395085888236572,40.0266844563042,22.172949002217294,33.753375337533754,250,-42.857142857142854,-2.3987327449649243,6.6311152330164616,258.601901228843,-46.4107104028826,125,-44.44444444444444,50,275,-2.217873450750163,0.289081609962197,-1.4634146341463417,0.5657388549445576
Arizona,113,156,153,154,109,110,42146,40151,35954,34412,34197,34787,26.811559815878137,38.85332868421708,42.55437503476665,44.75183075671277,31.87414100652104,31.62100784775922,38.05309734513274,-1.9230769230769231,-4.733545294927158,-10.453039774849941,44.9126009491162,9.52568666800742,0.6535947712418301,-29.22077922077922,0.9174311926605505,-2.6548672566371683,-4.28881348389609,-0.6247820527722887,1.7252975407199462,-17.460731742039577
Arkansas,76,122,68,64,92,94,17782,16552,16560,17074,18144,18806,42.73984928579462,73.70710488158531,41.06280193236715,37.4838936394518,50.70546737213404,49.984047644368815,60.526315789473685,-44.26229508196721,-6.917107187043077,0.04833252779120348,72.4552288163619,-44.2892215094639,-5.88235294117647,43.75,2.1739130434782608,23.684210526315788,3.103864734299517,6.266838467845847,3.6485890652557322,5.758632324822854
BoP - Alabama,4,5,10,4,7,NA,3399,2648,2538,3001,3160,3544,11.768167107972932,18.882175226586103,39.40110323089046,13.328890369876708,22.151898734177216,NA,25,100,-22.094733745219184,-4.1540785498489425,60.4512839879154,108.668242710796,-60,75,NA,NA,18.242710795902287,5.298233922025991,12.151898734177214,4.265960576640189
BoP - Alaska,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BoP - All Locations,383,466,409,413,377,380,177906,161640,153683,157032.5,159064,156007,21.528222769327623,28.829497649096755,26.613223323334395,26.300288156910195,23.70115173766534,24.357881377117696,21.671018276762403,-12.231759656652361,-9.143030589187548,-4.922667656520663,33.9148984010498,-7.68752321923236,0.9779951100244498,-8.716707021791766,0.7957559681697612,-0.7832898172323759,2.179486345269158,1.2936812443284034,-1.9218679273751447,-12.309309410587614
BoP - Arizona,6,12,8,10,9,NA,4079,3506,3430,3616,3679,3450,14.709487619514586,34.227039361095265,23.323615160349853,27.654867256637168,24.46316933949443,NA,100,-33.33333333333333,-14.047560676636431,-2.167712492869367,132.686822589846,-31.8561710398445,25,-10,NA,NA,5.422740524781341,1.7422566371681416,-6.224517531938027,-15.420446187791125
BoP - Arkansas,4,6,7,5,9,NA,3079,2956,2863,3351,3455,3470,12.991230919129586,20.29769959404601,24.449877750611247,14.920919128618323,26.049204052098407,NA,50,16.666666666666664,-3.9948035076323483,-3.1461434370771313,56.2415426251692,20.4563977180114,-28.57142857142857,80,NA,NA,17.0450576318547,3.1035511787526113,0.43415340086830684,12.69892822344917
BoP - California,13,31,17,22,31,NA,16449,11802,11654,14360,13770,13179,7.903216000972703,26.26673445178783,14.587266174703965,15.32033426183844,22.512708787218592,NA,138.46153846153845,-45.16129032258064,-28.2509575050155,-1.2540247415692256,232.355011536506,-44.4648660019819,29.411764705882355,40.909090909090914,NA,NA,23.21949545220525,-4.108635097493036,-4.291938997821351,-19.87962794090826
