Agency,BJS.2001,BJS.2002,BJS.2003,BJS.2004,BJS.2005,BJS.2006,BJS.2007,BJS.2008,BJS.2009,BJS.2010,BJS.2011,BJS.2012,BJS.2013,BJS.2014,BJS.2015,BJS.2016,BJS.2017,BJS.2018,BJS.2019,CMP.2001,CMP.2002,CMP.2003,CMP.2004,CMP.2005,CMP.2006,CMP.2007,CMP.2008,CMP.2009,CMP.2010,CMP.2011,CMP.2012,CMP.2013,CMP.2014,CMP.2015,CMP.2016,CMP.2017,CMP.2018,CMP.2019,CMP.2020
New Mexico,11,15,11,16,18,13,22,29,21,16,16,14,17,24,19,16,18,22,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22,19,NA
New York,175,185,198,153,170,131,148,133,142,124,117,115,142,123,115,147,143,138,112,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,115,148,145,138,113,121
North Carolina,66,59,74,94,69,90,99,117,86,87,71,79,81,94,90,127,104,118,119,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,91,127,104,118,119,141
North Dakota,3,1,1,1,1,1,0,0,0,1,1,3,1,0,0,4,2,0,1,3,1,1,2,1,1,NA,2,NA,1,1,3,1,NA,NA,4,2,NA,1,7
Ohio,115,113,91,126,121,106,123,101,120,116,111,126,124,111,138,133,149,151,136,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,128,112,138,133,151,152,136,250
Oklahoma,51,64,71,53,74,80,98,88,79,60,85,79,87,107,107,93,86,113,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,94,110,108,96,86,114,100,139
Oregon,24,33,25,34,37,40,36,31,34,39,40,26,30,31,37,47,25,34,39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42,47,25,34,41,50
Pennsylvania,122,126,147,161,149,124,150,145,165,141,157,157,157,145,166,171,181,166,157,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,161,168,178,166,158,217
Rhode Island,3,8,8,7,2,8,9,6,7,7,10,6,4,7,5,2,8,5,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,2,8,4,3,8
South Carolina,69,45,63,50,75,65,72,83,49,70,55,58,66,66,76,79,105,100,70,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,76,79,105,100,71,121
South Dakota,4,11,11,5,4,4,8,6,4,8,11,9,6,7,7,5,12,6,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,5,12,8,14,11
Tennessee,51,61,97,71,76,84,73,74,69,74,59,84,82,83,94,102,96,121,103,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,105,164
Texas,408,396,383,395,351,443,435,469,426,375,417,462,438,409,418,403,469,505,448,NA,NA,NA,NA,355,446,437,471,430,381,420,465,438,409,418,404,470,502,447,700
Utah,5,9,10,11,8,7,7,11,17,13,12,15,23,23,16,21,20,17,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,21,20,17,21,36
Vermont,3,2,5,1,6,7,1,3,3,5,0,2,8,6,4,7,4,2,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,5,4,3,4,2
Virginia,71,69,93,86,84,78,103,86,87,93,99,86,82,90,90,90,93,106,90,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,91,90,92,106,90,128
Washington,29,30,31,36,45,36,39,35,44,35,21,33,39,38,42,28,40,36,37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43,28,42,37,37,51
West Virginia,17,8,15,13,10,13,19,19,18,20,23,24,26,24,28,26,29,34,28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28,27,30,34,28,46
Wisconsin,48,49,41,40,29,45,43,44,42,25,48,46,43,58,46,66,43,52,49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,47,66,43,52,51,70
Wyoming,5,3,2,2,8,3,8,9,7,2,3,4,4,12,7,11,8,6,9,5,3,2,3,7,4,7,9,8,1,3,4,4,12,7,11,8,6,10,5
