State,Date,Sex.Group,Age.Group,Number,Percent,Source
Florida,2010-05-01,Female,25-29,1130,NA,UCLA Records
Florida,2010-05-01,Female,30-34,1162,NA,UCLA Records
Florida,2010-05-01,Female,35-39,957,NA,UCLA Records
Florida,2010-05-01,Female,40-44,977,NA,UCLA Records
Florida,2010-05-01,Female,45-49,916,NA,UCLA Records
Florida,2010-05-01,Female,50-54,612,NA,UCLA Records
Florida,2010-05-01,Female,55-59,259,NA,UCLA Records
Florida,2010-05-01,Female,60-64,117,NA,UCLA Records
Florida,2010-05-01,Female,65+,65,NA,UCLA Records
Florida,2010-05-01,Male,0-20,1912,NA,UCLA Records
Florida,2010-05-01,Male,21-24,8751,NA,UCLA Records
Florida,2010-05-01,Male,25-29,13790,NA,UCLA Records
Florida,2010-05-01,Male,30-34,13505,NA,UCLA Records
Florida,2010-05-01,Male,35-39,11597,NA,UCLA Records
Florida,2010-05-01,Male,40-44,11107,NA,UCLA Records
Florida,2010-05-01,Male,45-49,10861,NA,UCLA Records
Florida,2010-05-01,Male,50-54,8191,NA,UCLA Records
Florida,2010-05-01,Male,55-59,4673,NA,UCLA Records
Florida,2010-05-01,Male,60-64,2398,NA,UCLA Records
Florida,2010-05-01,Male,65+,1985,NA,UCLA Records
Florida,2010-06-01,Female,0-20,83,NA,UCLA Records
Florida,2010-06-01,Female,21-24,645,NA,UCLA Records
Florida,2010-06-01,Female,25-29,1160,NA,UCLA Records
Florida,2010-06-01,Female,30-34,1169,NA,UCLA Records
Florida,2010-06-01,Female,35-39,971,NA,UCLA Records
Florida,2010-06-01,Female,40-44,976,NA,UCLA Records
Florida,2010-06-01,Female,45-49,905,NA,UCLA Records
Florida,2010-06-01,Female,50-54,613,NA,UCLA Records
Florida,2010-06-01,Female,55-59,264,NA,UCLA Records
Florida,2010-06-01,Female,60-64,118,NA,UCLA Records
Florida,2010-06-01,Female,65+,64,NA,UCLA Records
Florida,2010-06-01,Male,0-20,1906,NA,UCLA Records
Florida,2010-06-01,Male,21-24,8779,NA,UCLA Records
Florida,2010-06-01,Male,25-29,13817,NA,UCLA Records
Florida,2010-06-01,Male,30-34,13491,NA,UCLA Records
Florida,2010-06-01,Male,35-39,11578,NA,UCLA Records
Florida,2010-06-01,Male,40-44,11170,NA,UCLA Records
Florida,2010-06-01,Male,45-49,10822,NA,UCLA Records
Florida,2010-06-01,Male,50-54,8168,NA,UCLA Records
Florida,2010-06-01,Male,55-59,4712,NA,UCLA Records
Florida,2010-06-01,Male,60-64,2438,NA,UCLA Records
Florida,2010-06-01,Male,65+,1983,NA,UCLA Records
Florida,2010-07-01,Female,0-20,87,NA,UCLA Records
Florida,2010-07-01,Female,21-24,655,NA,UCLA Records
Florida,2010-07-01,Female,25-29,1136,NA,UCLA Records
Florida,2010-07-01,Female,30-34,1171,NA,UCLA Records
Florida,2010-07-01,Female,35-39,969,NA,UCLA Records
Florida,2010-07-01,Female,40-44,972,NA,UCLA Records
Florida,2010-07-01,Female,45-49,905,NA,UCLA Records
Florida,2010-07-01,Female,50-54,606,NA,UCLA Records
Florida,2010-07-01,Female,55-59,268,NA,UCLA Records
Florida,2010-07-01,Female,60-64,120,NA,UCLA Records
Florida,2010-07-01,Female,65+,64,NA,UCLA Records
Florida,2010-07-01,Male,0-20,1889,NA,UCLA Records
Florida,2010-07-01,Male,21-24,8923,NA,UCLA Records
Florida,2010-07-01,Male,25-29,13785,NA,UCLA Records
Florida,2010-07-01,Male,30-34,13552,NA,UCLA Records
Florida,2010-07-01,Male,35-39,11587,NA,UCLA Records
Florida,2010-07-01,Male,40-44,11170,NA,UCLA Records
Florida,2010-07-01,Male,45-49,10797,NA,UCLA Records
Florida,2010-07-01,Male,50-54,8200,NA,UCLA Records
Florida,2010-07-01,Male,55-59,4740,NA,UCLA Records
Florida,2010-07-01,Male,60-64,2452,NA,UCLA Records
Florida,2010-07-01,Male,65+,1992,NA,UCLA Records
Florida,2010-08-01,Female,0-20,83,NA,UCLA Records
Florida,2010-08-01,Female,21-24,650,NA,UCLA Records
Florida,2010-08-01,Female,25-29,1138,NA,UCLA Records
Florida,2010-08-01,Female,30-34,1191,NA,UCLA Records
Florida,2010-08-01,Female,35-39,970,NA,UCLA Records
Florida,2010-08-01,Female,40-44,969,NA,UCLA Records
Florida,2010-08-01,Female,45-49,890,NA,UCLA Records
Florida,2010-08-01,Female,50-54,618,NA,UCLA Records
Florida,2010-08-01,Female,55-59,268,NA,UCLA Records
Florida,2010-08-01,Female,60-64,118,NA,UCLA Records
Florida,2010-08-01,Female,65+,69,NA,UCLA Records
Florida,2010-08-01,Male,0-20,1851,NA,UCLA Records
Florida,2010-08-01,Male,21-24,8908,NA,UCLA Records
Florida,2010-08-01,Male,25-29,13747,NA,UCLA Records
Florida,2010-08-01,Male,30-34,13577,NA,UCLA Records
Florida,2010-08-01,Male,35-39,11547,NA,UCLA Records
Florida,2010-08-01,Male,40-44,11076,NA,UCLA Records
Florida,2010-08-01,Male,45-49,10794,NA,UCLA Records
Florida,2010-08-01,Male,50-54,8196,NA,UCLA Records
Florida,2010-08-01,Male,55-59,4775,NA,UCLA Records
Florida,2010-08-01,Male,60-64,2474,NA,UCLA Records
Florida,2010-08-01,Male,65+,2015,NA,UCLA Records
Florida,2010-09-01,Female,0-20,87,NA,UCLA Records
Florida,2010-09-01,Female,21-24,648,NA,UCLA Records
Florida,2010-09-01,Female,25-29,1138,NA,UCLA Records
Florida,2010-09-01,Female,30-34,1223,NA,UCLA Records
Florida,2010-09-01,Female,35-39,975,NA,UCLA Records
Florida,2010-09-01,Female,40-44,985,NA,UCLA Records
Florida,2010-09-01,Female,45-49,891,NA,UCLA Records
Florida,2010-09-01,Female,50-54,624,NA,UCLA Records
Florida,2010-09-01,Female,55-59,273,NA,UCLA Records
Florida,2010-09-01,Female,60-64,116,NA,UCLA Records
Florida,2010-09-01,Female,65+,71,NA,UCLA Records
Florida,2010-09-01,Male,0-20,1820,NA,UCLA Records
Florida,2010-09-01,Male,21-24,8895,NA,UCLA Records
Florida,2010-09-01,Male,25-29,13808,NA,UCLA Records
Florida,2010-09-01,Male,30-34,13615,NA,UCLA Records
Florida,2010-09-01,Male,35-39,11528,NA,UCLA Records
Florida,2010-09-01,Male,40-44,11100,NA,UCLA Records
Florida,2010-09-01,Male,45-49,10758,NA,UCLA Records
Florida,2010-09-01,Male,50-54,8254,NA,UCLA Records
Florida,2010-09-01,Male,55-59,4802,NA,UCLA Records
Florida,2010-09-01,Male,60-64,2490,NA,UCLA Records
Florida,2010-09-01,Male,65+,2036,NA,UCLA Records
Florida,2010-10-01,Female,0-20,81,NA,UCLA Records
Florida,2010-10-01,Female,21-24,665,NA,UCLA Records
Florida,2010-10-01,Female,25-29,1106,NA,UCLA Records
Florida,2010-10-01,Female,30-34,1220,NA,UCLA Records
Florida,2010-10-01,Female,35-39,960,NA,UCLA Records
Florida,2010-10-01,Female,40-44,997,NA,UCLA Records
Florida,2010-10-01,Female,45-49,896,NA,UCLA Records
Florida,2010-10-01,Female,50-54,619,NA,UCLA Records
Florida,2010-10-01,Female,55-59,290,NA,UCLA Records
Florida,2010-10-01,Female,60-64,116,NA,UCLA Records
Florida,2010-10-01,Female,65+,70,NA,UCLA Records
Florida,2010-10-01,Male,0-20,1781,NA,UCLA Records
Florida,2010-10-01,Male,21-24,8936,NA,UCLA Records
Florida,2010-10-01,Male,25-29,13813,NA,UCLA Records
Florida,2010-10-01,Male,30-34,13708,NA,UCLA Records
Florida,2010-10-01,Male,35-39,11504,NA,UCLA Records
Florida,2010-10-01,Male,40-44,11100,NA,UCLA Records
Florida,2010-10-01,Male,45-49,10748,NA,UCLA Records
Florida,2010-10-01,Male,50-54,8250,NA,UCLA Records
Florida,2010-10-01,Male,55-59,4851,NA,UCLA Records
Florida,2010-10-01,Male,60-64,2488,NA,UCLA Records
Florida,2010-10-01,Male,65+,2069,NA,UCLA Records
Florida,2010-11-01,Female,0-20,84,NA,UCLA Records
Florida,2010-11-01,Female,21-24,668,NA,UCLA Records
Florida,2010-11-01,Female,25-29,1105,NA,UCLA Records
Florida,2010-11-01,Female,30-34,1219,NA,UCLA Records
Florida,2010-11-01,Female,35-39,965,NA,UCLA Records
Florida,2010-11-01,Female,40-44,999,NA,UCLA Records
Florida,2010-11-01,Female,45-49,902,NA,UCLA Records
Florida,2010-11-01,Female,50-54,625,NA,UCLA Records
Florida,2010-11-01,Female,55-59,283,NA,UCLA Records
Florida,2010-11-01,Female,60-64,120,NA,UCLA Records
Florida,2010-11-01,Female,65+,74,NA,UCLA Records
Florida,2010-11-01,Male,0-20,1753,NA,UCLA Records
Florida,2010-11-01,Male,21-24,8911,NA,UCLA Records
Florida,2010-11-01,Male,25-29,13794,NA,UCLA Records
Florida,2010-11-01,Male,30-34,13736,NA,UCLA Records
Florida,2010-11-01,Male,35-39,11507,NA,UCLA Records
