State,Date,Sex.Group,Number,Percent,Source
West Virginia,2019-06-30,Male,5244,NA,https://dcr.wv.gov/resources/Documents/FY2019%20ANNUAL%20REPORT%20WVDCR.pdf
West Virginia,2019-06-30,Female,577,NA,https://dcr.wv.gov/resources/Documents/FY2019%20ANNUAL%20REPORT%20WVDCR.pdf
