State,Date,Sex.Group,Number,Percent,Source
Montana,2019-06-30,Male,130,8,https://cor.mt.gov/LegislativeAgencyMaterials1/2021/AllAgencyMaterials/Strategic-Master-Planning-Report.pdf
Montana,2019-06-30,Female,1504,92,https://cor.mt.gov/LegislativeAgencyMaterials1/2021/AllAgencyMaterials/Strategic-Master-Planning-Report.pdf
