State,Date,Sex.Group,Number,Percent,Source
Iowa,2019-12-31,Male,7702,91,http://publications.iowa.gov/31465/1/quick%20factsn2019.pdf
Iowa,2019-12-31,Female,736,9,http://publications.iowa.gov/31465/1/quick%20factsn2019.pdf
Iowa,2021-07-31,Male,7157,92.4,https://doc.iowa.gov/data/quick-facts
Iowa,2021-07-31,Female,586,7.6,https://doc.iowa.gov/data/quick-facts
