State,Date,Sex.Group,Number,Percent,Source
Idaho,2020-06-30,Male,7448,86.8,https://www.idoc.idaho.gov/content/document/fy2020_citizen_centric_report
Idaho,2020-06-30,Female,1133,13.2,https://www.idoc.idaho.gov/content/document/fy2020_citizen_centric_report
Idaho,2019-06-30,Male,7842,NA,https://www.idoc.idaho.gov/content/document/fy2019_citizen_centric_report
Idaho,2019-06-30,Female,1185,NA,https://www.idoc.idaho.gov/content/document/fy2019_citizen_centric_report
