State,Year,Month,Facility,Total.Deaths
Oregon,2016,December,IBRO,2
Oregon,2017,January,IBRO,1
Oregon,2017,February,IBRO,0
Oregon,2017,March,IBRO,0
Oregon,2017,April,IBRO,0
Oregon,2017,May,IBRO,0
Oregon,2017,June,IBRO,1
Oregon,2017,July,IBRO,0
Oregon,2017,August,IBRO,0
Oregon,2017,September,IBRO,0
Oregon,2017,October,IBRO,0
Oregon,2017,November,IBRO,0
Oregon,2017,December,IBRO,1
Oregon,2018,January,IBRO,0
Oregon,2018,February,IBRO,0
Oregon,2018,March,IBRO,0
Oregon,2018,April,IBRO,0
Oregon,2018,June,IBRO,0
Oregon,2018,August,IBRO,0
Oregon,2018,September,IBRO,0
Oregon,2018,October,IBRO,0
Oregon,2018,November,IBRO,0
Oregon,2018,December,IBRO,1
Oregon,2019,January,IBRO,0
Oregon,2019,February,IBRO,0
Oregon,2019,March,IBRO,1
Oregon,2019,April,IBRO,1
Oregon,2019,May,IBRO,0
Oregon,2019,June,IBRO,0
Oregon,2019,July,IBRO,0
Oregon,2019,August,IBRO,0
Oregon,2019,September,IBRO,1
Oregon,2019,October,IBRO,0
Oregon,2019,November,IBRO,0
Oregon,2019,December,IBRO,0
Oregon,2020,January,IBRO,0
Oregon,2020,February,IBRO,0
Oregon,2020,March,IBRO,0
Oregon,2020,April,IBRO,0
Oregon,2020,May,IBRO,0
Oregon,2020,June,IBRO,0
Oregon,2020,July,IBRO,0
Oregon,2020,August,IBRO,0
Oregon,2020,September,IBRO,0
Oregon,2020,October,IBRO,0
Oregon,2020,November,IBRO,0
Oregon,2020,December,IBRO,0
Oregon,2015,January,TRCI,0
Oregon,2015,February,TRCI,1
Oregon,2015,March,TRCI,1
Oregon,2015,April,TRCI,1
Oregon,2015,May,TRCI,0
Oregon,2015,June,TRCI,0
Oregon,2015,July,TRCI,1
Oregon,2015,August,TRCI,1
Oregon,2015,September,TRCI,2
Oregon,2015,October,TRCI,0
Oregon,2015,November,TRCI,0
Oregon,2015,December,TRCI,2
Oregon,2016,January,TRCI,1
Oregon,2016,February,TRCI,1
Oregon,2016,March,TRCI,3
Oregon,2016,April,TRCI,1
Oregon,2016,May,TRCI,1
Oregon,2016,June,TRCI,0
Oregon,2016,July,TRCI,2
Oregon,2016,August,TRCI,1
Oregon,2016,September,TRCI,2
Oregon,2016,October,TRCI,0
Oregon,2016,November,TRCI,3
Oregon,2016,December,TRCI,0
Oregon,2017,January,TRCI,0
Oregon,2017,February,TRCI,0
Oregon,2017,March,TRCI,2
Oregon,2017,April,TRCI,1
Oregon,2017,May,TRCI,1
Oregon,2017,June,TRCI,0
Oregon,2017,July,TRCI,2
Oregon,2017,August,TRCI,1
Oregon,2017,September,TRCI,1
Oregon,2017,October,TRCI,0
Oregon,2017,November,TRCI,0
Oregon,2017,December,TRCI,0
Oregon,2018,January,TRCI,0
Oregon,2018,February,TRCI,0
Oregon,2018,March,TRCI,3
Oregon,2018,April,TRCI,1
Oregon,2018,June,TRCI,1
Oregon,2018,August,TRCI,0
Oregon,2018,September,TRCI,1
Oregon,2018,October,TRCI,3
Oregon,2018,November,TRCI,1
Oregon,2018,December,TRCI,0
Oregon,2019,January,TRCI,0
Oregon,2019,February,TRCI,1
Oregon,2019,March,TRCI,2
Oregon,2019,April,TRCI,0
Oregon,2019,May,TRCI,0
Oregon,2019,June,TRCI,1
Oregon,2019,July,TRCI,2
Oregon,2019,August,TRCI,0
Oregon,2019,September,TRCI,0
Oregon,2019,October,TRCI,1
Oregon,2019,November,TRCI,2
Oregon,2019,December,TRCI,0
Oregon,2020,January,TRCI,0
Oregon,2020,February,TRCI,1
Oregon,2020,March,TRCI,0
Oregon,2020,April,TRCI,0
Oregon,2020,May,TRCI,0
Oregon,2020,June,TRCI,0
Oregon,2020,July,TRCI,0
Oregon,2020,August,TRCI,6
Oregon,2020,September,TRCI,0
Oregon,2020,October,TRCI,2
Oregon,2020,November,TRCI,1
Oregon,2020,December,TRCI,1
Oregon,2015,January,OSP,0
Oregon,2015,February,OSP,0
Oregon,2015,March,OSP,1
Oregon,2015,April,OSP,1
Oregon,2015,May,OSP,1
Oregon,2015,June,OSP,1
Oregon,2015,July,OSP,3
Oregon,2015,August,OSP,2
Oregon,2015,September,OSP,4
Oregon,2015,October,OSP,0
Oregon,2015,November,OSP,2
Oregon,2015,December,OSP,0
Oregon,2016,January,OSP,2
Oregon,2016,February,OSP,3
Oregon,2016,March,OSP,0
Oregon,2016,April,OSP,1
Oregon,2016,May,OSP,0
Oregon,2016,June,OSP,5
Oregon,2016,July,OSP,1
Oregon,2016,August,OSP,2
Oregon,2016,September,OSP,1
Oregon,2016,October,OSP,1
Oregon,2016,November,OSP,0
Oregon,2016,December,OSP,2
Oregon,2017,January,OSP,1
Oregon,2017,February,OSP,1
Oregon,2017,March,OSP,0
Oregon,2017,April,OSP,2
Oregon,2017,May,OSP,0
Oregon,2017,June,OSP,0
Oregon,2017,July,OSP,0
Oregon,2017,August,OSP,1
Oregon,2017,September,OSP,0
Oregon,2017,October,OSP,0
Oregon,2017,November,OSP,1
Oregon,2017,December,OSP,0
Oregon,2018,January,OSP,1
Oregon,2018,February,OSP,1
Oregon,2018,March,OSP,1
Oregon,2018,April,OSP,1
Oregon,2018,June,OSP,0
Oregon,2018,August,OSP,1
Oregon,2018,September,OSP,1
Oregon,2018,October,OSP,2
Oregon,2018,November,OSP,0
Oregon,2018,December,OSP,0
Oregon,2019,January,OSP,2
Oregon,2019,February,OSP,1
Oregon,2019,March,OSP,1
Oregon,2019,April,OSP,1
Oregon,2019,May,OSP,3
Oregon,2019,June,OSP,2
Oregon,2019,July,OSP,1
Oregon,2019,August,OSP,1
Oregon,2019,September,OSP,1
Oregon,2019,October,OSP,0
Oregon,2019,November,OSP,1
Oregon,2019,December,OSP,3
Oregon,2020,January,OSP,1
Oregon,2020,February,OSP,0
Oregon,2020,March,OSP,0
Oregon,2020,April,OSP,1
Oregon,2020,May,OSP,1
Oregon,2020,June,OSP,0
Oregon,2020,July,OSP,0
Oregon,2020,August,OSP,0
Oregon,2020,September,OSP,3
Oregon,2020,October,OSP,0
Oregon,2020,November,OSP,0
Oregon,2020,December,OSP,4
Oregon,2015,January,SRCI,0
Oregon,2015,February,SRCI,0
Oregon,2015,March,SRCI,1
Oregon,2015,April,SRCI,1
Oregon,2015,May,SRCI,1
Oregon,2015,June,SRCI,2
Oregon,2015,July,SRCI,1
Oregon,2015,August,SRCI,1
Oregon,2015,September,SRCI,1
Oregon,2015,October,SRCI,1
Oregon,2015,November,SRCI,1
Oregon,2015,December,SRCI,0
Oregon,2016,January,SRCI,0
Oregon,2016,February,SRCI,2
Oregon,2016,March,SRCI,2
Oregon,2016,April,SRCI,0
Oregon,2016,May,SRCI,0
Oregon,2016,June,SRCI,0
Oregon,2016,July,SRCI,2
Oregon,2016,August,SRCI,0
Oregon,2016,September,SRCI,1
Oregon,2016,October,SRCI,0
Oregon,2016,November,SRCI,0
Oregon,2016,December,SRCI,2
Oregon,2017,January,SRCI,1
Oregon,2017,February,SRCI,0
Oregon,2017,March,SRCI,2
Oregon,2017,April,SRCI,0
Oregon,2017,May,SRCI,0
Oregon,2017,June,SRCI,1
Oregon,2017,July,SRCI,0
Oregon,2017,August,SRCI,0
Oregon,2017,September,SRCI,0
Oregon,2017,October,SRCI,1
Oregon,2017,November,SRCI,0
Oregon,2017,December,SRCI,2
Oregon,2018,January,SRCI,3
